FID,Shape_Leng,Shape_Area,ADM2_EN,ADM2_MN,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1MN,ADM2ALT2MN,ADM1_EN,ADM1_MN,ADM1_PCODE,ADM0_EN,ADM0_MN,ADM0_PCODE,date,validOn,validTo,Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92,Den_Goat92,Den_Goat06,Den_Shep02,Den_Shep06,Den_Shep92
12,2.068892946210000,0.135498512533000,Argalant,Аргалант,MN4107, , , , , ,To'v,Төв,MN41,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Tov,Argalant,MN4107,58.289999999999999,4.100000000000000,2.840000000000000,0.040000000000000,28.510000000000002,22.809999999999999,36.259999999999998,3.250000000000000,1.930000000000000,0.010000000000000,17.690000000000001,13.390000000000001,61.530000000000001,6.050000000000000,4.560000000000000,0.010000000000000,35.119999999999997,15.779999999999999,59.479999999999997,6.550000000000000,6.890000000000000,0.050000000000000,33.180000000000000,12.810000000000000,48.619999999999997,5.320000000000000,6.330000000000000,0.060000000000000,31.829999999999998,5.080000000000000,37.491186471600003,168.341331381000003,130.554938716999999,210.408213840000002,234.910327832999997
13,0.347749064709000,0.005725548065840,Arvaixeer,Арвайхээр,MN6201, , , , , ,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Ovorkhangai,Arvaikheer,MN6201,61.340000000000003,2.300000000000000,1.610000000000000,0.030000000000000,31.340000000000000,26.059999999999999,27.660000000000000,1.350000000000000,0.960000000000000,0.000000000000000,15.210000000000001,10.140000000000001,40.680000000000000,2.200000000000000,3.250000000000000,0.000000000000000,25.770000000000000,9.470000000000001,53.430000000000000,1.580000000000000,3.160000000000000,0.010000000000000,38.430000000000000,10.260000000000000,39.549999999999997,1.580000000000000,3.380000000000000,0.010000000000000,24.410000000000000,10.180000000000000,1777.995727729999999,4551.529338379999899,2656.514245469999878,5473.711798350000208,4263.347319649999918
14,1.314599222340000,0.098268540466000,Arxust,Архуст,MN4110, , , , , ,To'v,Төв,MN41,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Tov,Arkhust,MN4110,54.119999999999997,4.990000000000000,2.340000000000000,0.030000000000000,26.440000000000001,20.320000000000000,31.570000000000000,2.920000000000000,1.400000000000000,0.040000000000000,17.510000000000002,9.699999999999999,48.740000000000002,5.900000000000000,4.460000000000000,0.050000000000000,28.910000000000000,9.420000000000000,38.490000000000002,5.620000000000000,4.350000000000000,0.020000000000000,24.359999999999999,4.130000000000000,30.600000000000001,3.500000000000000,3.110000000000000,0.010000000000000,22.820000000000000,1.160000000000000,11.804388205000000,206.780317521999990,178.185204714999998,269.058641500000022,232.220809343000013
15,3.926229242360000,0.838917513726000,Asgat,Асгат,MN2204, , , , , ,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Sukhbaatar,Asgat,MN2204,98.730000000000004,15.570000000000000,8.350000000000000,0.670000000000000,42.070000000000000,32.070000000000000,80.900000000000006,13.980000000000000,6.460000000000000,0.630000000000000,33.390000000000001,26.440000000000001,75.879999999999995,12.779999999999999,9.940000000000000,0.660000000000000,31.899999999999999,20.600000000000001,58.399999999999999,10.550000000000001,7.630000000000000,0.690000000000000,24.989999999999998,14.550000000000001,58.009999999999998,11.109999999999999,7.430000000000000,0.780000000000000,31.129999999999999,7.560000000000000,9.011613032640000,38.227834650299997,39.801290894099999,50.147957709400004,37.107343082800000
16,1.355407919250000,0.070398386076200,Asgat,Асгат,MN8107, , , , , ,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Zavkhan,Asgat,MN8107,31.359999999999999,1.300000000000000,1.290000000000000,0.020000000000000,15.500000000000000,13.250000000000000,17.410000000000000,1.280000000000000,0.680000000000000,0.020000000000000,9.550000000000001,5.890000000000000,22.949999999999999,2.160000000000000,1.860000000000000,0.040000000000000,12.380000000000001,6.510000000000000,27.300000000000001,2.380000000000000,2.900000000000000,0.010000000000000,14.850000000000000,7.150000000000000,29.690000000000001,1.880000000000000,2.830000000000000,0.010000000000000,20.260000000000002,4.720000000000000,67.046991601399995,188.214542101000006,135.656519024000005,220.175502080999991,287.790688525999997
17,4.408333154930000,0.856843355929000,Baacagaan,Баацагаан,MN6404, , , , , ,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Bayankhongor,Baatsagaan,MN6404,107.230000000000004,2.190000000000000,1.760000000000000,1.360000000000000,17.199999999999999,84.739999999999995,36.310000000000002,0.700000000000000,0.540000000000000,1.140000000000000,6.650000000000000,27.280000000000001,189.680000000000007,8.890000000000001,5.360000000000000,3.260000000000000,62.390000000000001,109.780000000000001,172.659999999999997,8.430000000000000,5.480000000000000,3.190000000000000,58.530000000000001,97.030000000000001,143.020000000000010,6.560000000000000,3.760000000000000,3.680000000000000,68.670000000000002,60.350000000000001,70.432943877599996,98.897890044500002,7.761045182860000,20.073680773700001,80.143003414600003
18,1.243814368680000,0.075019879534400,Baganuur,Багануур,MN1101, , , , , ,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Ulaanbaatar,Baganuur,MN1101,42.390000000000001,2.570000000000000,7.240000000000000,0.010000000000000,16.989999999999998,15.580000000000000,30.739999999999998,2.130000000000000,5.980000000000000,0.010000000000000,12.390000000000001,10.220000000000001,31.510000000000002,2.860000000000000,6.920000000000000,0.010000000000000,14.440000000000000,7.290000000000000,40.259999999999998,3.520000000000000,8.580000000000000,0.010000000000000,19.609999999999999,8.529999999999999,36.219999999999999,3.360000000000000,7.660000000000000,0.010000000000000,19.460000000000001,5.730000000000000,76.379754747199996,207.678286031999988,165.156223616000005,226.473304215000013,259.397910538000019
19,0.548679856697000,0.018624512317500,Bagaxangai,Багахангай,MN1104, , , , , ,Ulaanbaatar,Улаанбаатар,MN11,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Ulaanbaatar,Bagaxangai,MN1104,10.520000000000000,0.640000000000000,1.800000000000000,0.000000000000000,4.220000000000000,3.870000000000000,7.630000000000000,0.530000000000000,1.480000000000000,0.000000000000000,3.080000000000000,2.540000000000000,7.820000000000000,0.710000000000000,1.720000000000000,0.000000000000000,3.580000000000000,1.810000000000000,9.990000000000000,0.870000000000000,2.130000000000000,0.000000000000000,4.870000000000000,2.120000000000000,8.990000000000000,0.830000000000000,1.900000000000000,0.000000000000000,4.830000000000000,1.420000000000000,76.243607123399997,207.790675751999999,165.373457704000003,226.583114126999988,259.335649581999974
20,0.357342810361000,0.006473686241730,Baruun-Urt,Баруун-Урт,MN2201, , , , , ,Sukhbaatar,Сүхбаатар,MN22,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Sukhbaatar,Baruun-Urt,MN2201,144.090000000000003,14.430000000000000,10.119999999999999,0.510000000000000,66.530000000000001,52.490000000000002,128.800000000000011,15.449999999999999,10.279999999999999,0.450000000000000,61.689999999999998,40.939999999999998,123.250000000000000,14.250000000000000,20.030000000000001,0.370000000000000,60.530000000000001,28.070000000000000,65.469999999999999,7.470000000000000,11.720000000000001,0.180000000000000,33.060000000000002,13.050000000000001,42.079999999999998,3.850000000000000,9.570000000000000,0.040000000000000,23.109999999999999,5.510000000000000,851.137944326000024,8108.208838059999835,9529.346603539999705,10276.988645400000678,3569.836278289999882
21,2.578250675500000,0.452149362736000,Baruunbayan-Ulaan,Баруунбаян-Улаан,MN6204, , , , , ,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Ovorkhangai,Baruunbayan-Ulaan,MN6204,94.769999999999996,2.690000000000000,0.880000000000000,1.580000000000000,26.969999999999999,62.659999999999997,46.219999999999999,1.700000000000000,0.360000000000000,1.450000000000000,14.850000000000000,27.870000000000001,132.810000000000002,10.869999999999999,5.500000000000000,2.400000000000000,47.689999999999998,66.349999999999994,116.540000000000006,8.960000000000001,5.380000000000000,2.370000000000000,41.859999999999999,57.979999999999997,84.980000000000004,5.960000000000000,3.950000000000000,3.340000000000000,38.609999999999999,33.119999999999997,73.250130885000004,138.582524193000012,32.843129337000001,59.648430856600001,85.392136276299993
22,3.077902702230000,0.349735141502000,Baruunbu'ren,Баруунбүрэн,MN4307,Baruunburen, , , , ,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Selenge,Baruunburen,MN4307,77.629999999999995,4.340000000000000,6.020000000000000,0.050000000000000,36.590000000000003,30.640000000000001,66.189999999999998,4.400000000000000,7.790000000000000,0.030000000000000,32.899999999999999,21.070000000000000,78.780000000000001,5.220000000000000,10.470000000000001,0.010000000000000,46.210000000000001,16.870000000000001,57.219999999999999,4.190000000000000,7.610000000000000,0.000000000000000,36.030000000000001,9.390000000000001,50.399999999999999,3.340000000000000,5.990000000000000,0.000000000000000,36.859999999999999,4.220000000000000,12.066273871900000,87.609154368700004,94.071187295300007,104.622028666999995,105.394041450000003
23,3.353333547310000,0.402163155460000,Baruunturuun,Баруунтуруун,MN8504, , , , , ,Uvs,Увс,MN85,Mongolia,монгол,MN,12/1/2016 0:00:00,10/19/2020 0:00:00,,Uvs,Baruunturuun,MN8504,42.969999999999999,3.640000000000000,4.460000000000000,0.040000000000000,15.609999999999999,19.219999999999999,21.969999999999999,2.760000000000000,2.620000000000000,0.040000000000000,8.369999999999999,8.190000000000000,50.039999999999999,4.000000000000000,8.449999999999999,0.080000000000000,26.420000000000002,11.080000000000000,52.810000000000002,4.650000000000000,9.380000000000001,0.040000000000000,31.270000000000000,7.460000000000000,43.939999999999998,3.640000000000000,7.460000000000000,0.020000000000000,30.670000000000002,2.160000000000000,5.370954476250000,47.791548626599997,20.812448595500001,38.815092302899998,76.262580456699993
