Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92
Khentii,Batshireet,MN2307,30.8,3.38,9.29,0.01,12.02,6.1,26.2,3.41,8.41,0.01,10.8,3.58,29.9,4.3,10.93,0.01,12.5,2.16,22.93,4.04,8.02,0.02,9.65,1.2,35.18,4.31,9.67,0.07,20.3,0.83
Khentii,Bayan-Adarga,MN2310,47.64,4.49,6.68,0.11,20.47,15.89,44.49,6.9,8.07,0.16,18.42,10.95,32.25,5.8,8.23,0.17,11.64,6.43,25.1,5.82,6.12,0.21,8.34,4.61,52.69,6.09,11.15,0.31,30.53,4.62
Khentii,Bayankhutag,MN2319,150.71,14.42,8.06,0.56,79.56,48.11,96.21,12.6,5.08,0.61,53.06,24.87,106.57,16.19,13.33,0.73,51.45,24.88,77.13,14.28,10.81,0.66,34.38,17,72.28,10.31,8.3,0.44,42.99,10.24
Khentii,Bayanmunkh,MN2313,80.14,7.65,5.41,0.3,37.37,29.41,46.33,5.54,3.44,0.3,22.69,14.36,63.53,8.68,8.77,0.38,28.85,16.85,49.87,7,7.07,0.36,21.74,13.7,61.96,5.82,6.68,0.47,38.37,10.62
Khentii,Bayan-Ovoo,MN2316,78,9.53,7.53,0.52,36.57,23.85,62.9,8.2,7.67,0.52,28.24,18.28,49.76,7.12,9.05,0.5,20.18,12.91,40.87,6.34,7.83,0.44,16.02,10.24,64.72,7.77,7.18,0.67,38.89,10.21
Khentii,Binder,MN2322,87.39,10.23,15.59,0.18,33.29,28.11,72.5,11.41,16.1,0.25,26.08,18.66,71.39,11.89,19.38,0.38,24.71,15.04,54.73,10.41,15.27,0.36,17.87,10.82,76,10.78,20.12,0.41,35.95,8.74
Khentii,Dadal,MN2328,19.59,3.27,7.2,0.01,4.86,4.25,19.86,3.96,7.71,0.01,4.97,3.21,19.81,4.45,8.36,0.02,5,1.99,16.18,4.91,6.35,0.03,3.94,0.95,34,5.53,10.8,0.17,17.26,0.25
Khentii,Darkhan,MN2331,143.84,11.84,6.48,0.44,65.5,59.59,92.84,8.94,3.96,0.42,45.78,33.74,106.93,13.07,12.8,0.37,48.46,32.23,98.59,10.44,11.17,0.41,49.16,27.41,101.03,7.55,8.3,0.63,63.97,20.59
Khentii,Delgerkhaan,MN2334,146.04,11.79,7.67,0.23,74.11,52.25,105.97,9.54,5.48,0.25,58.91,31.8,138.21,11.88,12.12,0.33,82.44,31.44,97.99,8.83,9.08,0.31,59.98,19.78,96.73,7.25,7.4,0.33,68.07,13.68
Khentii,Galshar,MN2325,159.42,14.94,9.1,0.63,74.99,59.75,126.27,13.81,6.66,0.76,60.9,44.15,156.89,19.22,16.51,0.97,71.78,48.41,112.34,13.46,13.79,0.93,48.11,36.04,158.61,10.92,14.17,0.84,98.8,33.87
Khentii,Jargaltkhaan,MN2337,117.65,10.97,8.24,0.27,57.94,40.23,82.49,11.19,7.38,0.39,39.76,23.77,82.7,11.42,11.62,0.43,39.43,19.8,59.42,8.46,8.88,0.42,26.92,14.75,60.01,6.88,7.8,0.45,35.59,9.3
Khentii,Kherlen,MN2301,150.47,10.87,12,0.34,66.73,60.55,95.46,9.35,7.37,0.4,46.67,31.67,94.31,10.38,14.53,0.47,48.34,20.59,87.17,9.16,13.46,0.47,48.49,15.59,48.94,4.55,6.39,0.36,35.64,2.01
Khentii,Murun,MN2340,113.62,11.51,8.73,0.41,58.63,34.35,72.69,9.68,5,0.43,39.13,18.45,106.03,15.38,15.85,0.67,54.32,19.81,79.4,12.09,11.62,0.61,40.86,14.23,75.29,8.17,8.43,0.65,51.04,7
Khentii,Norovlin,MN2343,66.44,7.62,7.19,0.3,31.39,19.95,67.63,9.74,8.91,0.5,30.98,17.5,59.47,8.94,11.15,0.55,26.24,12.59,43.81,7.64,7.61,0.51,18.98,9.07,60.54,6.73,9.16,0.57,35.9,8.19
Khentii,Omnudelger,MN2346,216.01,15.19,19.52,0.31,93.13,87.85,155.72,17.78,20.89,0.51,62.77,53.77,105.09,14.04,18.66,0.53,40.86,31.01,86.24,12.56,16.56,0.54,32.51,24.08,93.94,10.6,14.42,0.73,48.67,19.53
Khentii,Tsenkhermandal,MN2349,105.43,7.64,8.62,0.03,51.53,37.61,73.83,7.43,7.38,0.1,36.84,22.08,69.25,7.75,9.05,0.15,35.11,17.21,66.86,7.67,9.97,0.17,32.44,16.62,67.85,6.21,7.44,0.16,43.27,10.77
Ulaanbaatar,Baganuur,MN1101,42.39,2.57,7.24,0.01,16.99,15.58,30.74,2.13,5.98,0.01,12.39,10.22,31.51,2.86,6.92,0.01,14.44,7.29,40.26,3.52,8.58,0.01,19.61,8.53,36.22,3.36,7.66,0.01,19.46,5.73
Ulaanbaatar,Bagaxangai,MN1104,10.52,0.64,1.8,0,4.22,3.87,7.63,0.53,1.48,0,3.08,2.54,7.82,0.71,1.72,0,3.58,1.81,9.99,0.87,2.13,0,4.87,2.12,8.99,0.83,1.9,0,4.83,1.42
Ulaanbaatar,Bayangol,MN1107,1.62,0.1,0.28,0,0.65,0.6,1.18,0.08,0.23,0,0.48,0.39,1.21,0.11,0.27,0,0.55,0.28,1.54,0.14,0.33,0,0.75,0.33,1.39,0.13,0.29,0,0.75,0.22
Ulaanbaatar,Bayanzu'rx,MN1110,83.72,5.07,14.3,0.03,33.55,30.77,60.71,4.22,11.81,0.02,24.48,20.19,62.24,5.65,13.67,0.02,28.51,14.39,79.52,6.96,16.94,0.02,38.74,16.85,71.55,6.63,15.13,0.02,38.44,11.31
Ulaanbaatar,Chingeltei,MN1125,6.13,0.37,1.05,0,2.46,2.25,4.45,0.31,0.86,0,1.79,1.48,4.56,0.41,1,0,2.09,1.05,5.83,0.51,1.24,0,2.84,1.23,5.24,0.49,1.11,0,2.82,0.83
Ulaanbaatar,Khan-Uul,MN1122,34.12,2.07,5.83,0.01,13.67,12.54,24.74,1.72,4.81,0.01,9.98,8.23,25.37,2.3,5.57,0.01,11.62,5.86,32.41,2.83,6.91,0.01,15.79,6.87,29.16,2.7,6.17,0.01,15.67,4.61
Ulaanbaatar,Nalaix,MN1113,46.8,2.84,7.99,0.01,18.75,17.2,33.93,2.36,6.6,0.01,13.68,11.28,34.79,3.16,7.64,0.01,15.94,8.04,44.45,3.89,9.47,0.01,21.65,9.42,39.99,3.71,8.46,0.01,21.49,6.32
Ulaanbaatar,Songinoxairxan,MN1116,82.12,4.98,14.03,0.03,32.91,30.18,59.54,4.13,11.58,0.02,24.01,19.8,61.05,5.54,13.41,0.02,27.97,14.11,77.99,6.82,16.62,0.02,38,16.53,70.17,6.51,14.84,0.02,37.71,11.09
Ulaanbaatar,Su'xbaatar,MN1119,14.54,0.88,2.48,0,5.83,5.34,10.54,0.73,2.05,0,4.25,3.51,10.81,0.98,2.37,0,4.95,2.5,13.81,1.21,2.94,0,6.73,2.93,12.43,1.15,2.63,0,6.68,1.96
Tov,Ugtaalcaidam,MN4170,52.48,5.25,3.38,0,24.05,19.74,50.71,6.38,3.23,0,25.93,15.14,66.2,8.37,7.08,-0.01,38,12.68,64.35,6.77,8.15,0.01,42.42,6.97,61.41,5.33,6.93,0.01,46.89,2.23
Khentii,Bor-Ondor,MN2352,,,,,,,,,,,,,53.34,5.2,8.87,0.07,27.99,11.12,39.89,4.54,7.12,0.04,21.23,6.94,90.61,6.52,15.32,0,62.7,6.03
